,date,dx,dy,distance,x,y,lon,lat
78,2022-01-28,6789,-3572,29526.02078416595,-1568637.9424783103,1670942.7025752815,-43.19122156974003,-69.27666813030072
79,2022-01-27,9400,4580,30763.962054521333,-1559237.9424783103,1675522.7025752815,-42.94118981104568,-69.30475846026495
80,2022-01-26,6993,5194,33914.25591586369,-1552244.9424783103,1680716.7025752815,-42.72437178453416,-69.31339989517042
81,2022-01-25,241,1378,34487.759429913895,-1552003.9424783103,1682094.7025752815,-42.69653429050998,-69.30563809176563
82,2022-01-24,-2649,2070,33758.17893404946,-1554652.9424783103,1684164.7025752815,-42.7101131440009,-69.27530795352894
83,2022-01-23,-3040,-77,30399.439723035004,-1557692.9424783103,1684087.7025752815,-42.76720857453987,-69.25696371544925
84,2022-01-22,-4305,1931,28215.23866630151,-1561997.9424783103,1686018.7025752815,-42.81330685451915,-69.21727117260963
85,2022-01-21,-1727,1821,23856.120141729807,-1563724.9424783103,1687839.7025752815,-42.81403662459843,-69.19432654934948
86,2022-01-20,220,-845,21348.525250509818,-1563504.9424783103,1686994.7025752815,-42.82432187384712,-69.2013607334788
87,2022-01-19,6793,-5330,22133.967107706234,-1556711.9424783103,1681664.7025752815,-42.79033854408185,-69.27931344455433
88,2022-01-18,9813,-1895,30635.033779530124,-1546898.9424783103,1679769.7025752815,-42.64195339238154,-69.3528937306161
89,2022-01-17,6943,-2473,39184.115934273665,-1539955.9424783103,1677296.7025752815,-42.555594173159804,-69.41248798840843
90,2022-01-16,2320,-3916,36908.65172455535,-1537635.9424783103,1673380.7025752815,-42.57927958080259,-69.45319118318947
91,2022-01-15,520,-4264,37151.351964348534,-1537115.9424783103,1669116.7025752815,-42.64246124740867,-69.48508894930099
92,2022-01-14,2603,-1370,33410.57612446921,-1534512.9424783103,1667746.7025752815,-42.61751615825766,-69.51041138213667
93,2022-01-13,2631,2537,30748.52362631579,-1531881.9424783103,1670283.7025752815,-42.525142269944595,-69.50960310911621
94,2022-01-12,3626,1830,31468.25506896783,-1528255.9424783103,1672113.7025752815,-42.42626672621432,-69.51964466466086
95,2022-01-11,1498,3500,31550.366795581842,-1526757.9424783103,1675613.7025752815,-42.3386374011206,-69.50524639558851
96,2022-01-10,-2166,4661,31418.190415011308,-1528923.9424783103,1680274.7025752815,-42.2998433473331,-69.46042284679419
97,2022-01-09,-4891,2514,28085.02598566046,-1533814.9424783103,1682788.7025752815,-42.34829851474667,-69.41333584519722
98,2022-01-08,-966,-1671,28742.798158196732,-1534780.9424783103,1681117.7025752815,-42.39460107471074,-69.41866900649528
99,2022-01-07,6847,-8310,30647.993724441472,-1527933.9424783103,1672807.7025752815,-42.408415180647346,-69.5169474516276
100,2022-01-06,11213,-7135,32078.752511519968,-1516720.9424783103,1665672.7025752815,-42.320229899036505,-69.63416229986464
101,2022-01-05,6339,-260,22827.964324857698,-1510381.9424783103,1665412.7025752815,-42.205246734110005,-69.67487095754288
102,2022-01-04,2459,6216,23374.265372526785,-1507922.9424783103,1671628.7025752815,-42.05261146369329,-69.64782239157138
103,2022-01-03,-3219,11290,30025.769810268415,-1511141.9424783103,1682918.7025752815,-41.92159537247813,-69.55146759283333
104,2022-01-02,-4952,13052,22460.235022487777,-1516093.9424783103,1695970.7025752815,-41.794763798066256,-69.4324290451362
105,2022-01-01,-1481,4592,8998.071219515454,-1517574.9424783103,1700562.7025752815,-41.745587073692334,-69.39210899846601
106,2021-12-31,187,3337,4848.377259746402,-1517387.9424783103,1703899.7025752815,-41.68628813610486,-69.37047830773633
107,2021-12-30,1339,5529,2150.6786114338984,-1516048.9424783103,1709428.7025752815,-41.569005117850296,-69.34083161711054
108,2021-12-29,5024,2255,4511.00386272448,-1511024.9424783103,1711683.7025752815,-41.437134498625554,-69.35582632693315
109,2021-12-28,5641,504,8091.352196823142,-1505383.9424783103,1712187.7025752815,-41.32247296275236,-69.38645464174735
110,2021-12-27,1129,5107,12447.705007448147,-1504254.9424783103,1717294.7025752815,-41.21656226944467,-69.35817539954344
111,2021-12-26,-5073,4324,16706.157908826415,-1509327.9424783103,1721618.7025752815,-41.24075937842721,-69.29788478259873
112,2021-12-25,-3135,2448,17778.670690604467,-1512462.9424783103,1724066.7025752815,-41.25933542783996,-69.2621621909265
113,2021-12-24,-2954,3265,19358.312319661232,-1515416.9424783103,1727331.7025752815,-41.261017337851264,-69.22191260606985
114,2021-12-23,-6065,8187,22382.02347014855,-1521481.9424783103,1735518.7025752815,-41.2401618998259,-69.12906773797131
115,2021-12-22,-7682,4474,31146.49407768584,-1529163.9424783103,1739992.7025752815,-41.31009009216025,-69.051977233214
116,2021-12-21,-5731,-5628,30665.87636300414,-1534894.9424783103,1734364.7025752815,-41.508498452850034,-69.0559128575921
117,2021-12-20,-2868,-12989,35227.33953746568,-1537762.9424783103,1721375.7025752815,-41.77548939235602,-69.12725185624691
118,2021-12-19,8346,-4688,27657.772920556705,-1529416.9424783103,1716687.7025752815,-41.698213628644986,-69.21003999184491
119,2021-12-18,7702,-953,18197.50273994348,-1521714.9424783103,1715734.7025752815,-41.57037650218391,-69.26333458830364
120,2021-12-17,6848,-5735,12441.87156232836,-1514866.9424783103,1709999.7025752815,-41.53732390052632,-69.34409254507712
121,2021-12-16,7366,-6427,5090.743653436731,-1507500.9424783103,1703572.7025752815,-41.50579376886739,-69.4327071196416
122,2021-12-15,9238,597,8127.679422632442,-1498262.9424783103,1704169.7025752815,-41.32111823680178,-69.48446420846295
123,2021-12-14,3708,1409,17265.78929396529,-1494554.9424783103,1705578.7025752815,-41.22725401395622,-69.49714057102511
124,2021-12-13,-8955,-4354,20965.586115829992,-1503509.9424783103,1701224.7025752815,-41.469635487525466,-69.47294578384887
125,2021-12-12,-7916,282,12566.010375344851,-1511425.9424783103,1701506.7025752815,-41.61426272242929,-69.42303763760998
126,2021-12-11,-7196,5686,5342.652170698562,-1518621.9424783103,1707192.7025752815,-41.65448011162879,-69.3404942738802
127,2021-12-10,-234,2172,3835.0528480198327,-1518855.9424783103,1709364.7025752815,-41.62268962871854,-69.32423466827254
128,2021-12-09,-3921,1595,5538.833818911956,-1522776.9424783103,1710959.7025752815,-41.66950879599941,-69.2895196765609
